,CC3,Country,Year,Banking Crisis ,Systemic Crisis,exch_usd,National Currency,exch_sources,Domestic Debt,Sovereign External debt1,Sovereign External debt2,GDP_Weighted_default,Inflation,Independence,Currency Crises,Inflation Crises
0,AUT,Austria,1800.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,14.64646464646464,1,1,0.0
1,AUT,Austria,1801.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,29.24081323858143,1,1,1.0
2,AUT,Austria,1802.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,11.554948079807115,1,0,0.0
3,AUT,Austria,1803.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,12.448675361157424,1,0,0.0
4,AUT,Austria,1804.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,-3.399989463738562,1,1,0.0
5,AUT,Austria,1805.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,26.509580683860634,1,0,1.0
6,AUT,Austria,1806.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,-2.933196739278615,1,0,0.0
7,AUT,Austria,1807.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,-24.74227078930879,1,1,0.0
8,AUT,Austria,1808.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,12.729910867700406,1,1,0.0
9,AUT,Austria,1809.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,50.82640035784859,1,1,1.0
10,AUT,Austria,1810.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,-11.175119533580895,1,1,0.0
11,AUT,Austria,1811.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,53.654739057760175,1,1,1.0
12,AUT,Austria,1812.0,0.0,0.0,,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,-18.565914325043618,1,1,0.0
13,AUT,Austria,1813.0,0.0,0.0,6.07011959526076e-06,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,-26.916765301263467,1,0,0.0
14,AUT,Austria,1814.0,0.0,0.0,1.09140062353292e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,49.6805061887116,1,0,1.0
15,AUT,Austria,1815.0,0.0,0.0,1.4652781310485e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,37.222185629662796,1,1,1.0
16,AUT,Austria,1816.0,0.0,0.0,1.41634508937547e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,1,1.0,0.86,40.56745002806481,1,1,1.0
17,AUT,Austria,1817.0,0.0,0.0,1.15719376273289e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,11.90762974689199,1,1,0.0
18,AUT,Austria,1818.0,0.0,0.0,1.00138320627699e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,-55.430206224585135,1,0,0.0
19,AUT,Austria,1819.0,0.0,0.0,1.03907618293206e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,-34.64586787702737,1,0,0.0
20,AUT,Austria,1820.0,0.0,0.0,1.07027705306813e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,8.815981611552791,1,0,0.0
21,AUT,Austria,1821.0,0.0,0.0,9.89755552810137e-06,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,26.636668808869643,1,0,1.0
22,AUT,Austria,1822.0,0.0,0.0,1.01083067471882e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,-21.64731010037748,1,0,0.0
23,AUT,Austria,1823.0,0.0,0.0,1.0242024762057e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,-0.5348098113438784,1,0,0.0
24,AUT,Austria,1824.0,0.0,0.0,9.88495890351228e-06,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,-14.945507606448654,1,0,0.0
25,AUT,Austria,1825.0,0.0,0.0,1.00632495900041e-05,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,-15.931075143170059,1,0,0.0
26,AUT,Austria,1826.0,0.0,0.0,9.86461050994528e-06,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,1.694094938930018,1,0,0.0
27,AUT,Austria,1827.0,0.0,0.0,9.73719080737096e-06,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,39.13459703514499,1,0,1.0
28,AUT,Austria,1828.0,0.0,0.0,9.85685874096737e-06,"1748-1892-Gulden, 1892-1923-Krone,1923-1998 schilling, 1999-present euro",Primary source isGFD-RR_IFS official eop; alt1 series is GFD market eop exchange rate; alt2 series is Pick's parallel eop,0.0,0,0.0,0.0,23.587579858903332,1,0,1.0
