CC3,Country,Year,Crisis_Name,Banking_Crisis,Systemic_Crisis,exch_usd,National_Currency,Inflation,Currency_Crises,Inflation_Crises
AUT,Austria,2011,Евродолговой кризис,0,1,0.72,Euro,3.6%,0,0
AUT,Austria,2013,Евродолговой кризис,0,1,0.75,Euro,2.1%,0,0
AUT,Austria,2019,Политическая нестабильность,0,0,1.12,Euro,1.5%,0,0
AUT,Austria,2021,Политическая нестабильность,0,0,1.18,Euro,2.8%,0,0
AUT,Austria,2020,COVID-19 и банковский кризис,1,1,1.14,Euro,1.4%,0,0
AUT,Austria,2022,Энергетический кризис,0,0,1.05,Euro,8.6%,0,1
BEL,Belgium,2012,Евродолговой кризис,0,1,0.75,Euro,2.6%,0,0
BEL,Belgium,2016,После терактов,0,0,1.11,Euro,1.8%,0,0
BEL,Belgium,2020,Пандемия COVID-19,1,1,1.14,Euro,0.5%,0,0
BEL,Belgium,2022,Энергетический кризис,0,0,1.05,Euro,10.3%,0,1
DNK,Denmark,2014,Банковский кризис,1,0,5.62,Danish Krone,0.6%,0,0
DNK,Denmark,2015,Банковский кризис,1,0,6.73,Danish Krone,0.2%,0,0
DNK,Denmark,2016,Падение цен на нефть,0,0,6.85,Danish Krone,0.3%,0,0
DNK,Denmark,2020,Пандемия COVID-19,0,1,6.54,Danish Krone,0.4%,0,0
DNK,Denmark,2021,Пандемия COVID-19,0,1,6.29,Danish Krone,1.9%,0,0
DNK,Denmark,2022,Инфляционный кризис,0,0,7.45,Danish Krone,8.5%,0,1
DNK,Denmark,2023,Инфляционный кризис,0,0,6.88,Danish Krone,3.8%,0,1
FIN,Finland,1993,Кризис после распада СССР,1,1,1.15,Markka,2.0%,1,0
FIN,Finland,2001,"Кризис ""Доткомов""",0,0,1.1,Euro,2.7%,0,0
FIN,Finland,2008,Глобальный финансовый кризис,1,1,0.68,Euro,3.9%,0,0
FIN,Finland,2009,Глобальный финансовый кризис,1,1,0.72,Euro,1.6%,0,0
FIN,Finland,2012,Европейский долговой кризис,0,1,0.78,Euro,3.2%,0,0
FIN,Finland,2014,Европейский долговой кризис,0,0,0.75,Euro,1.2%,0,0
FIN,Finland,2015,Упадок Nokia,0,0,0.9,Euro,-0.2%,0,0
FIN,Finland,2020,Пандемия COVID-19,0,1,1.14,Euro,0.4%,0,0
FIN,Finland,2021,Пандемия COVID-19,0,1,1.18,Euro,2.1%,0,0
FIN,Finland,2022,Энергетический кризис,0,0,1.05,Euro,7.2%,0,1
FRA,France,2014,Социальные кризисы,0,0,0.75,Euro,0.6%,0,0
FRA,France,2019,Социальные кризисы,0,0,1.12,Euro,1.3%,0,0
FRA,France,2020,Пандемия COVID-19,0,1,1.14,Euro,0.5%,0,0
FRA,France,2021,Пандемия COVID-19,0,1,1.18,Euro,1.6%,0,0
FRA,France,2022,Энергетический кризис,0,0,1.05,Euro,5.9%,0,1
DEU,Germany,2018,Промышленная рецессия,0,0,1.18,Euro,1.9%,0,0
DEU,Germany,2019,Промышленная рецессия,0,0,1.12,Euro,1.4%,0,0
DEU,Germany,2020,Пандемия COVID-19,0,1,1.14,Euro,0.5%,0,0
DEU,Germany,2022,Энергетический кризис,0,0,1.05,Euro,8.7%,0,1
GRC,Greece,2018,После программ помощи,0,0,0.85,Euro,0.8%,0,0
GRC,Greece,2019,После программ помощи,0,0,0.89,Euro,0.5%,0,0
GRC,Greece,2020,Пандемия COVID-19,1,1,0.88,Euro,-1.3%,0,0
GRC,Greece,2021,Пандемия COVID-19,1,1,0.85,Euro,1.2%,0,0
GRC,Greece,2022,Энергетический кризис,0,0,0.95,Euro,9.3%,0,1
GRC,Greece,2023,Техническая рецессия,0,0,0.92,Euro,4.2%,0,0
HUN,Hungary,2017,Инфляционный кризис,0,0,280.0,Forint,2.4%,0,0
HUN,Hungary,2018,Инфляционный кризис,0,0,290.0,Forint,3.4%,0,0
HUN,Hungary,2020,Пандемия COVID-19,0,1,330.0,Forint,3.3%,0,0
HUN,Hungary,2021,Пандемия COVID-19,0,1,310.0,Forint,5.1%,0,0
HUN,Hungary,2022,Энергетический кризис,1,0,400.0,Forint,14.5%,1,1
HUN,Hungary,2023,Энергетический кризис,1,0,380.0,Forint,17.6%,1,1
ISL,Iceland,2020,Пандемия COVID-19,0,1,135.0,Krona,3.0%,0,0
ISL,Iceland,2021,Пандемия COVID-19,0,1,125.0,Krona,4.4%,0,0
ISL,Iceland,2021,Вулканические извержения,0,0,128.0,Krona,4.5%,0,0
ISL,Iceland,2022,Инфляционный кризис,0,0,140.0,Krona,8.3%,0,1
ISL,Iceland,2023,Протесты,0,0,138.0,Krona,8.6%,0,1
ISL,Iceland,2024,Инфляционный кризис,0,0,142.0,Krona,6.2%,0,1
IRL,Ireland,2016,Кризис налогообложения,0,0,0.88,Euro,0.0%,0,0
IRL,Ireland,2020,Пандемия COVID-19,0,1,1.14,Euro,-0.3%,0,0
IRL,Ireland,2021,Пандемия COVID-19,0,1,1.18,Euro,2.4%,0,0
IRL,Ireland,2022,Жилищный кризис,0,0,1.05,Euro,7.8%,0,1
ITA,Italy,2014,Банковский кризис,1,0,0.75,Euro,0.2%,0,0
ITA,Italy,2017,Банковский кризис,1,0,0.89,Euro,1.3%,0,0
ITA,Italy,2018,Политический кризис,0,0,0.85,Euro,1.2%,0,0
ITA,Italy,2019,Кризис долга,0,0,0.89,Euro,0.6%,0,0
ITA,Italy,2020,Пандемия COVID-19,1,1,0.88,Euro,-0.1%,0,0
ITA,Italy,2021,Пандемия COVID-19,1,1,0.85,Euro,1.9%,0,0
ITA,Italy,2022,Энергетический кризис,0,0,0.95,Euro,8.7%,0,1
NLD,Netherlands,2014,Газовый кризис,0,0,0.75,Euro,0.3%,0,0
NLD,Netherlands,2018,Газовый кризис,0,0,1.18,Euro,1.6%,0,0
NLD,Netherlands,2020,Пандемия COVID-19,0,1,1.14,Euro,1.1%,0,0
NLD,Netherlands,2021,Пандемия COVID-19,0,1,1.18,Euro,2.7%,0,0
NLD,Netherlands,2022,Энергетический кризис,0,0,1.05,Euro,11.6%,0,1
NLD,Netherlands,2023,Миграционный кризис,0,0,1.08,Euro,4.1%,0,0
NOR,Norway,1993,Банковский кризис,1,1,6.7,Krone,2.3%,1,0
NOR,Norway,1998,Азиатский кризис,0,0,7.55,Krone,2.3%,1,0
NOR,Norway,2008,Глобальный финансовый кризис,1,1,5.88,Krone,3.8%,0,0
NOR,Norway,2009,Глобальный финансовый кризис,1,1,6.4,Krone,2.2%,0,0
NOR,Norway,2014,Обвал цен на нефть,0,0,6.3,Krone,2.0%,0,0
NOR,Norway,2016,Обвал цен на нефть,0,0,8.4,Krone,3.6%,0,0
NOR,Norway,2020,Пандемия COVID-19,0,1,9.85,Krone,1.3%,0,0
NOR,Norway,2022,Энергетический кризис,0,0,9.65,Krone,5.8%,0,1
POL,Poland,1998,Российский кризис,0,0,3.5,Zloty,11.7%,1,0
POL,Poland,1999,Российский кризис,0,0,4.1,Zloty,7.3%,1,0
POL,Poland,2001,ИТ кризис,0,0,4.0,Zloty,5.5%,0,0
POL,Poland,2002,ИТ кризис,0,0,4.1,Zloty,1.9%,0,0
POL,Poland,2008,Глобальный финансовый кризис,0,1,2.5,Zloty,4.2%,1,0
POL,Poland,2009,Глобальный финансовый кризис,0,1,3.1,Zloty,3.5%,1,0
POL,Poland,2011,Европейский долговой кризис,0,0,2.96,Zloty,4.3%,0,0
POL,Poland,2013,Европейский долговой кризис,0,0,3.2,Zloty,0.9%,0,0
POL,Poland,2015,Конституционный кризис,0,0,3.8,Zloty,-0.9%,0,0
POL,Poland,2017,Конфликт с ЕС,0,0,3.65,Zloty,2.0%,0,0
POL,Poland,2020,Пандемия COVID-19,0,1,3.9,Zloty,3.4%,0,0
POL,Poland,2021,Пандемия COVID-19,0,1,3.85,Zloty,5.1%,0,0
POL,Poland,2022,Энергетический кризис,0,0,4.7,Zloty,14.4%,0,1
PRT,Portugal,2014,После меморандума,0,0,0.75,Euro,0.2%,0,0
PRT,Portugal,2019,Медленное восстановление,0,0,1.12,Euro,0.3%,0,0
PRT,Portugal,2020,Пандемия COVID-19,0,1,1.14,Euro,-0.1%,0,0
PRT,Portugal,2021,Пандемия COVID-19,0,1,1.18,Euro,1.3%,0,0
PRT,Portugal,2022,Энергетический кризис,0,0,1.05,Euro,7.8%,0,1
ROU,Romania,2008,Мировой финансовый кризис,1,1,2.5,Leu,7.9%,1,0
ROU,Romania,2009,Мировой финансовый кризис,1,1,3.1,Leu,5.6%,1,0
ROU,Romania,2010,Мировой финансовый кризис,1,1,3.3,Leu,6.1%,1,0
ROU,Romania,2012,Политический кризис,0,0,3.5,Leu,3.4%,0,0
ROU,Romania,2014,Политический кризис,0,0,3.4,Leu,1.4%,0,0
ROU,Romania,2014,Банковский кризис,1,0,3.45,Leu,1.1%,0,0
ROU,Romania,2015,Банковский кризис,1,0,4.0,Leu,-0.6%,0,0
ROU,Romania,2016,Инфляционный кризис,0,0,4.2,Leu,-1.5%,0,0
ROU,Romania,2018,Инфляционный кризис,0,0,3.9,Leu,4.6%,0,0
ROU,Romania,2020,Пандемия COVID-19,0,1,4.2,Leu,2.6%,0,0
ROU,Romania,2021,Пандемия COVID-19,0,1,4.1,Leu,5.1%,0,0
ROU,Romania,2022,Энергетический кризис,0,0,4.7,Leu,13.8%,0,1
RUS,Russia,2014,Санкционный кризис,1,1,38.5,Ruble,11.4%,1,1
RUS,Russia,2015,Санкционный кризис,1,1,61.0,Ruble,12.9%,1,1
RUS,Russia,2016,Санкционный кризис,1,1,67.0,Ruble,7.0%,1,0
RUS,Russia,2020,Пандемия COVID-19,0,1,73.0,Ruble,4.9%,0,0
RUS,Russia,2022,Санкционный кризис,1,1,70.0,Ruble,13.8%,1,1
RUS,Russia,2023,Санкционный кризис,1,1,92.0,Ruble,7.4%,1,1
ESP,Spain,2015,Политический кризис,0,0,0.9,Euro,-0.5%,0,0
ESP,Spain,2020,Политический кризис,0,0,1.14,Euro,-0.3%,0,0
ESP,Spain,2020,Пандемия COVID-19,1,1,1.14,Euro,-0.3%,0,0
ESP,Spain,2021,Пандемия COVID-19,1,1,1.18,Euro,3.1%,0,0
ESP,Spain,2022,Энергетический кризис,0,0,1.05,Euro,8.3%,0,1
ESP,Spain,2023,Энергетический кризис,0,0,1.08,Euro,3.8%,0,1
SWE,Sweden,2011,Европейский долговой кризис,0,0,6.5,Krona,1.4%,0,0
SWE,Sweden,2013,Европейский долговой кризис,0,0,6.55,Krona,0.0%,0,0
SWE,Sweden,2015,Миграционный кризис,0,0,8.4,Krona,0.7%,0,0
SWE,Sweden,2016,Миграционный кризис,0,0,8.95,Krona,1.1%,0,0
SWE,Sweden,2020,Пандемия COVID-19,0,1,9.3,Krona,0.7%,0,0
SWE,Sweden,2021,Пандемия COVID-19,0,1,8.6,Krona,2.2%,0,0
SWE,Sweden,2022,Инфляционный кризис,0,0,10.5,Krona,8.4%,0,1
SWE,Sweden,2024,Инфляционный кризис,0,0,10.2,Krona,4.5%,0,1
CHE,Switzerland,2008,Глобальный финансовый кризис,1,1,1.08,Franc,2.4%,0,0
CHE,Switzerland,2009,Глобальный финансовый кризис,1,1,1.09,Franc,-0.5%,0,0
CHE,Switzerland,2011,Кризис еврозоны,0,0,0.89,Franc,0.2%,1,0
CHE,Switzerland,2015,Валютный потолок,0,0,0.96,Franc,-1.1%,1,0
CHE,Switzerland,2020,Пандемия COVID-19,0,1,0.94,Franc,-0.7%,0,0
CHE,Switzerland,2021,Пандемия COVID-19,0,1,0.91,Franc,0.6%,0,0
